Potential_temperature_C,Practical_salinity,Potential_density_anomaly_kgm3,Pressure_decibar,Serial_date_number_base_date_1_January_0000,Longitude,Latitude,Bottom_Depth_m
2.334565886,34.89871348,27.86605496,1765.6,731890,-36.50833333,63.555,1784
2.035459351,34.895245,27.88793202,1765.2,731891,-36.50833333,63.555,1784
1.968005494,34.89837804,27.89584563,1765,731892,-36.50833333,63.555,1784
2.332550772,34.89960886,27.86694074,1764.9,731893,-36.50833333,63.555,1784
2.177197659,34.89552719,27.87661579,1765.1,731894,-36.50833333,63.555,1784
2.456932125,34.89440103,27.85219765,1765.1,731895,-36.50833333,63.555,1784
2.425329819,34.8984815,27.8581666,1765.4,731896,-36.50833333,63.555,1784
2.160793092,34.89230942,27.87538915,1765.6,731897,-36.50833333,63.555,1784
1.924062504,34.89236564,27.89451947,1765.9,731898,-36.50833333,63.555,1784
1.94674041,34.88888005,27.8899297,1766.1,731899,-36.50833333,63.555,1784
1.751816209,34.89415654,27.9093972,1766.5,731900,-36.50833333,63.555,1784
1.654682688,34.89023221,27.91366502,1766.6,731901,-36.50833333,63.555,1784
2.491870684,34.89945128,27.85323057,1767,731902,-36.50833333,63.555,1784
1.907437445,34.8842312,27.88931666,1766.9,731903,-36.50833333,63.555,1784
1.840205375,34.88830426,27.89785609,1766.4,731904,-36.50833333,63.555,1784
2.074753443,34.89013017,27.88066254,1766.1,731905,-36.50833333,63.555,1784
2.366028358,34.89675405,27.86182926,1765.7,731906,-36.50833333,63.555,1784
1.953987883,34.89722289,27.89603637,1765.2,731907,-36.50833333,63.555,1784
1.751252187,34.89991669,27.91405717,1764.7,731908,-36.50833333,63.555,1784
1.627187005,34.90120679,27.92454219,1764.7,731909,-36.50833333,63.555,1784
2.205104935,34.90289593,27.88021078,1764.9,731910,-36.50833333,63.555,1784
2.771295285,34.90927042,27.83648604,1765.9,731911,-36.50833333,63.555,1784
2.151842213,34.90308481,27.88474924,1766.1,731912,-36.50833333,63.555,1784
1.784319462,34.88056042,27.89599165,1766.3,731913,-36.50833333,63.555,1784
1.654246707,34.90116946,27.9224686,1766.7,731914,-36.50833333,63.555,1784
1.809661433,34.89810764,27.90809146,1766.9,731915,-36.50833333,63.555,1784
2.230874488,34.90146175,27.87692896,1767,731916,-36.50833333,63.555,1784
1.605540178,34.90078024,27.92582989,1766.6,731917,-36.50833333,63.555,1784
2.125609138,34.89680169,27.88186687,1766.3,731918,-36.50833333,63.555,1784
2.232725063,34.90144619,27.87676244,1766.1,731919,-36.50833333,63.555,1784
1.586473563,34.9054437,27.9309997,1765.6,731920,-36.50833333,63.555,1784
1.63422579,34.90322441,27.92562961,1765.4,731921,-36.50833333,63.555,1784
1.743048233,34.89292112,27.90908044,1765.2,731922,-36.50833333,63.555,1784
1.613672076,34.88984353,27.91644665,1765.2,731923,-36.50833333,63.555,1784
1.78396928,34.89491431,27.90752314,1765.2,731924,-36.50833333,63.555,1784
2.276772197,34.89656122,27.86918405,1765.6,731925,-36.50833333,63.555,1784
2.470835608,34.90045175,27.85584184,1766.1,731926,-36.50833333,63.555,1784
2.22171347,34.88428213,27.86394014,1766.3,731927,-36.50833333,63.555,1784
2.531815255,34.9095489,27.85784696,1766.7,731928,-36.50833333,63.555,1784
1.354415202,34.89194685,27.93719759,1766.5,731929,-36.50833333,63.555,1784
1.510898788,34.88706827,27.9218801,1766.8,731930,-36.50833333,63.555,1784
2.410873331,34.90172885,27.86199818,1767.1,731931,-36.50833333,63.555,1784
2.668198723,34.91112711,27.84715697,1767.1,731932,-36.50833333,63.555,1784
2.552934017,34.90063891,27.84888935,1766.9,731933,-36.50833333,63.555,1784
2.097186935,34.89154261,27.87997291,1766.7,731934,-36.50833333,63.555,1784
2.174749684,34.88930295,27.87183592,1766.3,731935,-36.50833333,63.555,1784
1.805546525,34.88853046,27.90073477,1765.7,731936,-36.50833333,63.555,1784
1.826790673,34.88575681,27.89686,1765.3,731937,-36.50833333,63.555,1784
1.161172254,34.89285775,27.9515765,1764.9,731938,-36.50833333,63.555,1784
1.630541379,34.893015,27.91771987,1765,731939,-36.50833333,63.555,1784
2.324953394,34.87808553,27.85036275,1765.7,731940,-36.50833333,63.555,1784
2.027141236,34.88196716,27.87796871,1766.1,731941,-36.50833333,63.555,1784
1.950292029,34.89147544,27.89172716,1767.2,731942,-36.50833333,63.555,1784
2.023783726,34.88882874,27.88373406,1767.1,731943,-36.50833333,63.555,1784
1.782074147,34.87909193,27.89498869,1767.3,731944,-36.50833333,63.555,1784
1.723836238,34.89652638,27.91344562,1767.3,731945,-36.50833333,63.555,1784
1.92933285,34.87853608,27.8830239,1767.1,731946,-36.50833333,63.555,1784
1.138751491,34.89078508,27.9514646,1766.8,731947,-36.50833333,63.555,1784
1.40411599,34.88852772,27.93086554,1766.6,731948,-36.50833333,63.555,1784
2.193605152,34.88096616,27.86361003,1766.4,731949,-36.50833333,63.555,1784
1.898745547,34.88011357,27.88670248,1766,731950,-36.50833333,63.555,1784
1.90015233,34.87157251,27.87974867,1766,731951,-36.50833333,63.555,1784
1.766609792,34.87999371,27.89690457,1765.8,731952,-36.50833333,63.555,1784
1.816803913,34.88374361,27.89602389,1765.7,731953,-36.50833333,63.555,1784
1.198575826,34.88453532,27.94228821,1766.1,731954,-36.50833333,63.555,1784
1.541271116,34.78851581,27.8405709,1766.9,731955,-36.50833333,63.555,1784
1.537294214,34.87976837,27.91407017,1767.5,731956,-36.50833333,63.555,1784
2.090149997,34.87308781,27.86576893,1766.6,731957,-36.50833333,63.555,1784
2.41042553,34.88384809,27.84773638,1767.2,731958,-36.50833333,63.555,1784
2.042604798,34.88616306,27.88008458,1767.4,731959,-36.50833333,63.555,1784
1.810599831,34.89795766,27.90789863,1767.5,731960,-36.50833333,63.555,1784
